Place_Name,Google_Maps_Link
Ledok Sambi,"https://www.google.com/maps/place/Ledok+Sambi+Ecopark/@-7.64745,110.4281736,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5de21c5696bb:0x1c946f8d6d01946!8m2!3d-7.64745!4d110.4281736!16s%2Fg%2F1ptyk0y39?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Seribu Batu Songgo Langit,"https://www.google.com/maps/search/Seribu+Batu+Songgo+Langit/@-7.9279084,110.4317092,16z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Goa Jomblang,"https://www.google.com/maps/place/Jomblang+Cave/@-8.028688,110.6383381,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bb41fce34d717:0xf9ffcb6f9fbd5cce!8m2!3d-8.028688!4d110.6383381!16s%2Fg%2F11b6nqqqkj?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Desa Wisata Rumah Domes/Teletubbies,"https://www.google.com/maps/place/Desa+Wisata+Rumah+Domes/@-7.8136085,110.5033442,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a500813c2e48d:0x81849ab09120be2b!8m2!3d-7.8136085!4d110.5033442!16s%2Fg%2F11bc7rxvv2?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bukit Wisata Pulepayung,"https://www.google.com/maps/place/Bukit+Wisata+Pulepayung/@-7.7999428,110.1237712,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aef0ce7442ce9:0x9832e17670a1167e!8m2!3d-7.7999428!4d110.1237712!16s%2Fg%2F11dfknb5kt?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bentara Budaya Yogyakarta (BBY),"https://www.google.com/maps/place/Bentara+Budaya+Yogyakarta+(BBY)/@-7.7857242,110.3746954,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a583243c99907:0x1f679cc2cf3c3e82!8m2!3d-7.7857242!4d110.3746954!16s%2Fg%2F1tf559f0?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Goa Rancang Kencono,"https://www.google.com/maps/place/Goa+Rancang+Kencono/@-7.9494598,110.4927262,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a52cb7e44f3d9:0xd5a8cbc5324693be!8m2!3d-7.9494598!4d110.4927262!16s%2Fg%2F11b67p2d6_?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Goa Cerme,"https://www.google.com/maps/place/Gua+Cerme/@-7.9794413,110.3803114,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bab2040c07aff:0x43e34e65c58257b5!8m2!3d-7.9794413!4d110.3803114!16s%2Fg%2F120hnny7?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Wisata Kraton Jogja,"https://www.google.com/maps/search/Wisata+Kraton+Jogja/@-7.8061216,110.3640649,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Desa Wisata Kelor,"https://www.google.com/maps/search/Desa+Wisata+Kelor/@-7.641767,110.3621361,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
